,permno,date,ret,jyear,formdate,dgtw_port,dgtw_vwret,dgtw_xret
613903,10028,1987-08-31,-0.0576923079788685,1987,1987-06-30,111,0.0013309244333533428,-0.05902323241222184
618454,10028,1987-09-30,-0.224489793181419,1987,1987-06-30,111,-0.03277525635609067,-0.19171453682532835
622975,10028,1987-10-31,-0.315789461135864,1987,1987-06-30,111,-0.336846405702363,0.021056944566499036
627460,10028,1987-11-30,0.230769231915474,1987,1987-06-30,111,-0.09880533461322306,0.32957456652869704
631909,10028,1987-12-31,0.0625,1987,1987-06-30,111,-0.010155546798689918,0.07265554679868992
636321,10028,1988-01-31,-0.117647059261799,1987,1987-06-30,111,0.12228605960712305,-0.23993311886892205
640705,10028,1988-02-29,0.0666666701436043,1987,1987-06-30,111,0.07370142708052548,-0.007034756936921169
645050,10028,1988-03-31,0.21875,1987,1987-06-30,111,0.06384373026513096,0.15490626973486904
649357,10028,1988-04-30,0.0256410259753466,1987,1987-06-30,111,-0.008717029981128254,0.034358055956474856
653633,10028,1988-05-31,0.025000000372529,1987,1987-06-30,111,-0.02338429735051765,0.04838429772304665
657860,10028,1988-06-30,-0.0243902429938316,1987,1987-06-30,111,0.06476765134138872,-0.08915789433522031
663255,10028,1988-07-31,-0.275000005960464,1988,1988-06-30,113,-0.007097026090610004,-0.26790297986985395
668014,10028,1988-08-31,-0.310343503952026,1988,1988-06-30,113,-0.016041981689069007,-0.29430152226295697
672721,10028,1988-09-30,0.0666666701436043,1988,1988-06-30,113,0.021967470138791845,0.044699200004812464
677398,10028,1988-10-31,-0.203125,1988,1988-06-30,113,-0.018137122416658342,-0.18498787758334165
682034,10028,1988-11-30,-0.0980392172932625,1988,1988-06-30,113,-0.037145719829890574,-0.06089349746337192
686624,10028,1988-12-31,-0.0869565233588219,1988,1988-06-30,113,0.032723544220083264,-0.11968006757890516
691168,10028,1989-01-31,0.0476190485060215,1988,1988-06-30,113,0.05642446093691578,-0.008805412430894277
695674,10028,1989-02-28,-0.125,1988,1988-06-30,113,-0.00451028910586334,-0.12048971089413665
700145,10028,1989-03-31,-0.0259740259498358,1988,1988-06-30,113,0.03229269796052987,-0.05826672391036568
704590,10028,1989-04-30,-0.0666666701436043,1988,1988-06-30,113,0.019223861126639284,-0.0858905312702436
709006,10028,1989-05-31,-0.228571429848671,1988,1988-06-30,113,0.027195655859748376,-0.2557670857084194
713380,10028,1989-06-30,-0.222222223877907,1988,1988-06-30,113,-0.01586996160949233,-0.20635226226841466
716670,10028,1989-07-31,0.428571432828903,1989,1989-06-30,111,-0.012246315522734396,0.4408177483516374
721341,10028,1989-08-31,0.150000005960465,1989,1989-06-30,111,0.021897287183300675,0.12810271877716434
725976,10028,1989-09-30,-0.217391297221184,1989,1989-06-30,111,-0.011213937089387426,-0.20617736013179658
730579,10028,1989-10-31,-0.240740746259689,1989,1989-06-30,111,-0.07641222799457378,-0.16432851826511521
735155,10028,1989-11-30,-0.53658539056778,1989,1989-06-30,111,-0.03586708063889335,-0.5007183099288867
739695,10028,1989-12-31,0.315789461135864,1989,1989-06-30,111,-0.0612647201405871,0.3770541812764511
744209,10028,1990-01-31,0.200000002980232,1989,1989-06-30,111,-0.028943197921440848,0.22894320090167283
